광역지자체명,기초지자체,관광호텔,숙박업 기타,숙박업(생활),여관업,여인숙업,일반호텔,휴양콘도미니엄업
강원특별자치도,강릉시,6,56,162,191,25,67,1
강원특별자치도,고성군,2,14,85,23,1,0,14
강원특별자치도,동해시,18,14,47,48,3,20,1
강원특별자치도,삼척시,1,4,33,48,10,3,0
강원특별자치도,속초시,11,17,109,106,2,10,14
강원특별자치도,양구군,1,7,11,38,0,1,0
강원특별자치도,양양군,4,42,212,62,0,8,3
강원특별자치도,영월군,2,3,19,26,1,0,1
강원특별자치도,원주시,6,14,18,151,21,23,5
강원특별자치도,인제군,1,7,24,47,1,5,1
강원특별자치도,정선군,4,6,35,56,8,37,4
강원특별자치도,철원군,2,1,5,53,3,2,0
강원특별자치도,춘천시,7,4,45,153,8,26,1
강원특별자치도,태백시,2,3,3,60,1,5,0
강원특별자치도,평창군,8,4,102,37,0,4,17
강원특별자치도,홍천군,1,16,147,52,3,1,0
강원특별자치도,화천군,0,2,21,38,0,0,0
강원특별자치도,횡성군,0,3,38,21,0,5,3
경기도,가평군,24,16,534,73,2,12,0
경기도,고양시,3,2,7,98,2,27,0
경기도,과천시,0,0,1,1,0,0,0
경기도,광명시,3,2,0,36,4,10,0
경기도,광주시,0,4,4,47,1,1,0
경기도,구리시,0,3,7,54,3,7,0
경기도,군포시,1,0,0,43,0,1,0
경기도,김포시,7,2,4,33,1,23,0
경기도,남양주시,4,4,23,50,2,21,0
경기도,동두천시,0,2,5,20,5,20,0
경기도,부천시,5,1,8,108,30,14,0
경기도,성남시,14,0,4,156,131,10,0
경기도,수원시,22,14,81,259,24,58,0
경기도,시흥시,5,0,4,75,1,16,0
경기도,안산시,9,10,23,116,8,15,0
경기도,안성시,3,5,3,82,5,9,0
경기도,안양시,5,5,3,112,26,4,0
경기도,양주시,2,10,11,79,4,10,0
경기도,양평군,2,22,95,115,0,10,1
경기도,여주시,1,6,8,75,1,3,2
경기도,연천군,0,6,13,40,4,0,1
경기도,오산시,1,2,9,67,20,8,0
경기도,용인시,7,2,17,54,5,65,4
경기도,의왕시,0,0,0,3,0,10,0
경기도,의정부시,2,1,72,80,16,19,0
