기준연월,광역시도,시군구,지역명,숙박업_소비지출액(천원)
2025,전국,,전국,3167208915
2025,서울특별시,,서울특별시,913811888
2025,서울특별시,강남구,서울특별시 강남구,136807783
2025,서울특별시,강동구,서울특별시 강동구,3882120
2025,서울특별시,강북구,서울특별시 강북구,17023582
2025,서울특별시,강서구,서울특별시 강서구,30832695
2025,서울특별시,관악구,서울특별시 관악구,5838566
2025,서울특별시,광진구,서울특별시 광진구,52145235
2025,서울특별시,구로구,서울특별시 구로구,13627616
2025,서울특별시,금천구,서울특별시 금천구,4787736
2025,서울특별시,노원구,서울특별시 노원구,2309411
2025,서울특별시,도봉구,서울특별시 도봉구,1172312
2025,서울특별시,동대문구,서울특별시 동대문구,4526871
2025,서울특별시,동작구,서울특별시 동작구,3273178
2025,서울특별시,마포구,서울특별시 마포구,27690123
2025,서울특별시,서대문구,서울특별시 서대문구,7878811
2025,서울특별시,서초구,서울특별시 서초구,69381371
2025,서울특별시,성동구,서울특별시 성동구,1913932
2025,서울특별시,성북구,서울특별시 성북구,2255650
2025,서울특별시,송파구,서울특별시 송파구,57764118
2025,서울특별시,양천구,서울특별시 양천구,905583
2025,서울특별시,영등포구,서울특별시 영등포구,62089110
2025,서울특별시,용산구,서울특별시 용산구,68521325
2025,서울특별시,은평구,서울특별시 은평구,2877828
2025,서울특별시,종로구,서울특별시 종로구,63066139
2025,서울특별시,중구,서울특별시 중구,270217021
2025,서울특별시,중랑구,서울특별시 중랑구,3023772
2025,부산광역시,,부산광역시,236126306
2025,부산광역시,강서구,부산광역시 강서구,4576932
2025,부산광역시,금정구,부산광역시 금정구,1347079
2025,부산광역시,기장군,부산광역시 기장군,47737274
2025,부산광역시,남구,부산광역시 남구,10968021
2025,부산광역시,동구,부산광역시 동구,7834871
2025,부산광역시,동래구,부산광역시 동래구,14152307
2025,부산광역시,부산진구,부산광역시 부산진구,17838833
2025,부산광역시,북구,부산광역시 북구,2065354
2025,부산광역시,사상구,부산광역시 사상구,3035575
2025,부산광역시,사하구,부산광역시 사하구,1713090
2025,부산광역시,서구,부산광역시 서구,9672367
2025,부산광역시,수영구,부산광역시 수영구,7261021
2025,부산광역시,연제구,부산광역시 연제구,2423639
2025,부산광역시,영도구,부산광역시 영도구,3572898
2025,부산광역시,중구,부산광역시 중구,6950455
2025,부산광역시,해운대구,부산광역시 해운대구,94976590
2025,대구광역시,,대구광역시,76144608
2025,경상북도,군위군,경상북도 군위군,224192
2025,대구광역시,남구,대구광역시 남구,1281818
2025,대구광역시,달서구,대구광역시 달서구,5258233
2025,대구광역시,달성군,대구광역시 달성군,2294961
2025,대구광역시,동구,대구광역시 동구,19422769
2025,대구광역시,북구,대구광역시 북구,9852610
2025,대구광역시,서구,대구광역시 서구,1766961
2025,대구광역시,수성구,대구광역시 수성구,31907166
2025,대구광역시,중구,대구광역시 중구,4135899
2025,인천광역시,,인천광역시,181394026
2025,인천광역시,강화군,인천광역시 강화군,3982473
2025,인천광역시,계양구,인천광역시 계양구,3525913
2025,인천광역시,남동구,인천광역시 남동구,6790069
2025,인천광역시,동구,인천광역시 동구,416307
2025,인천광역시,미추홀구,인천광역시 미추홀구,3905719
2025,인천광역시,부평구,인천광역시 부평구,5693318
2025,인천광역시,서구,인천광역시 서구,4921094
2025,인천광역시,연수구,인천광역시 연수구,25527371
2025,인천광역시,옹진군,인천광역시 옹진군,3405095
2025,인천광역시,중구,인천광역시 중구,123226667
2025,광주광역시,,광주광역시,25619165
2025,광주광역시,광산구,광주광역시 광산구,6727908
2025,광주광역시,남구,광주광역시 남구,559309
2025,광주광역시,동구,광주광역시 동구,3755150
2025,광주광역시,북구,광주광역시 북구,3991598
2025,광주광역시,서구,광주광역시 서구,10585201
2025,대전광역시,,대전광역시,39865818
2025,대전광역시,대덕구,대전광역시 대덕구,3138427
2025,대전광역시,동구,대전광역시 동구,2602330
2025,대전광역시,서구,대전광역시 서구,6349176
2025,대전광역시,유성구,대전광역시 유성구,24364444
2025,대전광역시,중구,대전광역시 중구,3411440
2025,울산광역시,,울산광역시,32375999
2025,울산광역시,남구,울산광역시 남구,13645658
2025,울산광역시,동구,울산광역시 동구,9156227
2025,울산광역시,북구,울산광역시 북구,2896872
2025,울산광역시,울주군,울산광역시 울주군,5243826
2025,울산광역시,중구,울산광역시 중구,1433416
2025,세종특별자치시,,세종특별자치시,7390426
2025,세종특별자치시,세종특별자치시,세종특별자치시,7390426
2025,경기도,,경기도,307091841
2025,경기도,가평군,경기도 가평군,29538872
2025,경기도,고양시,경기도 고양시,15466657
2025,경기도,고양시 덕양구,경기도 고양시 덕양구,3154693
2025,경기도,고양시 일산동구,경기도 고양시 일산동구,10057492
2025,경기도,고양시 일산서구,경기도 고양시 일산서구,2254473
2025,경기도,과천시,경기도 과천시,42061
2025,경기도,광명시,경기도 광명시,7245507
2025,경기도,광주시,경기도 광주시,29127408
2025,경기도,구리시,경기도 구리시,3303421
2025,경기도,군포시,경기도 군포시,5004833
2025,경기도,김포시,경기도 김포시,8789076
2025,경기도,남양주시,경기도 남양주시,5166520
2025,경기도,동두천시,경기도 동두천시,1427235
2025,경기도,부천시,경기도 부천시,7497235
2025,경기도,부천시 소사구,경기도 부천시 소사구,612494
2025,경기도,부천시 오정구,경기도 부천시 오정구,1291657
2025,경기도,부천시 원미구,경기도 부천시 원미구,5593084
2025,경기도,성남시,경기도 성남시,44618048
