provinceName,districtName,country,percentage
서울특별시,강남구,일본,19.0
서울특별시,강남구,중국,15.8
서울특별시,강남구,대만,9.0
서울특별시,강남구,미국,9.0
서울특별시,강남구,기타,9.0
서울특별시,강남구,인도네시아,4.7
서울특별시,강남구,홍콩,4.6
서울특별시,강남구,싱가포르,4.2
서울특별시,강남구,필리핀,3.2
서울특별시,강남구,태국,2.9
서울특별시,강남구,말레이시아,2.6
서울특별시,강남구,캐나다,2.4
서울특별시,강남구,독일,2.1
서울특별시,강남구,프랑스,1.7
서울특별시,강남구,오스트레일리아,1.5
서울특별시,강남구,영국,1.5
서울특별시,강남구,러시아,1.3
서울특별시,강남구,베트남,1.3
서울특별시,강남구,인도,1.1
서울특별시,강남구,몽골,1.0
서울특별시,강남구,카자흐스탄,0.7
서울특별시,강남구,튀르키예,0.6
서울특별시,강남구,사우디아라비아,0.4
서울특별시,강남구,멕시코,0.3
서울특별시,강남구,아랍에미리트,0.2
서울특별시,강동구,중국,22.7
서울특별시,강동구,기타,11.8
서울특별시,강동구,일본,11.8
서울특별시,강동구,미국,10.7
서울특별시,강동구,대만,4.2
서울특별시,강동구,캐나다,3.8
서울특별시,강동구,홍콩,3.4
서울특별시,강동구,베트남,3.3
서울특별시,강동구,몽골,3.2
서울특별시,강동구,인도,3.1
서울특별시,강동구,필리핀,2.9
서울특별시,강동구,인도네시아,2.3
서울특별시,강동구,독일,2.1
서울특별시,강동구,오스트레일리아,1.9
서울특별시,강동구,말레이시아,1.9
서울특별시,강동구,러시아,1.8
서울특별시,강동구,싱가포르,1.7
서울특별시,강동구,영국,1.5
서울특별시,강동구,태국,1.5
서울특별시,강동구,사우디아라비아,1.3
서울특별시,강동구,프랑스,1.2
서울특별시,강동구,카자흐스탄,0.8
서울특별시,강동구,튀르키예,0.6
서울특별시,강동구,멕시코,0.4
서울특별시,강동구,아랍에미리트,0.1
서울특별시,강북구,중국,25.0
서울특별시,강북구,기타,11.8
서울특별시,강북구,일본,9.2
서울특별시,강북구,미국,7.5
서울특별시,강북구,몽골,5.7
서울특별시,강북구,인도네시아,4.5
서울특별시,강북구,필리핀,4.2
서울특별시,강북구,대만,3.9
서울특별시,강북구,베트남,3.8
서울특별시,강북구,말레이시아,3.7
서울특별시,강북구,홍콩,3.5
서울특별시,강북구,캐나다,3.3
서울특별시,강북구,독일,2.5
서울특별시,강북구,오스트레일리아,1.7
서울특별시,강북구,싱가포르,1.7
서울특별시,강북구,태국,1.7
서울특별시,강북구,프랑스,1.6
서울특별시,강북구,러시아,1.4
서울특별시,강북구,영국,1.0
서울특별시,강북구,카자흐스탄,0.7
서울특별시,강북구,인도,0.6
서울특별시,강북구,멕시코,0.4
서울특별시,강북구,튀르키예,0.3
서울특별시,강북구,사우디아라비아,0.2
서울특별시,강북구,아랍에미리트,0.0
서울특별시,강서구,일본,36.2
서울특별시,강서구,중국,17.6
서울특별시,강서구,대만,11.2
서울특별시,강서구,기타,6.2
서울특별시,강서구,미국,4.1
서울특별시,강서구,홍콩,3.9
서울특별시,강서구,싱가포르,2.3
서울특별시,강서구,베트남,2.2
서울특별시,강서구,말레이시아,1.9
서울특별시,강서구,인도네시아,1.9
서울특별시,강서구,필리핀,1.8
서울특별시,강서구,캐나다,1.8
서울특별시,강서구,프랑스,1.4
서울특별시,강서구,러시아,1.3
서울특별시,강서구,독일,1.2
서울특별시,강서구,인도,0.9
서울특별시,강서구,오스트레일리아,0.9
서울특별시,강서구,태국,0.9
서울특별시,강서구,영국,0.8
서울특별시,강서구,몽골,0.6
서울특별시,강서구,카자흐스탄,0.3
서울특별시,강서구,튀르키예,0.3
서울특별시,강서구,사우디아라비아,0.2
서울특별시,강서구,멕시코,0.2
서울특별시,강서구,아랍에미리트,0.0
서울특별시,관악구,중국,34.8
서울특별시,관악구,기타,12.4
서울특별시,관악구,일본,8.6
서울특별시,관악구,미국,6.6
서울특별시,관악구,대만,4.2
서울특별시,관악구,몽골,3.8
서울특별시,관악구,홍콩,3.3
서울특별시,관악구,인도네시아,2.9
서울특별시,관악구,베트남,2.7
서울특별시,관악구,독일,2.6
서울특별시,관악구,캐나다,2.5
서울특별시,관악구,말레이시아,1.8
서울특별시,관악구,필리핀,1.8
서울특별시,관악구,러시아,1.6
서울특별시,관악구,싱가포르,1.5
서울특별시,관악구,인도,1.5
서울특별시,관악구,태국,1.5
서울특별시,관악구,프랑스,1.5
서울특별시,관악구,오스트레일리아,1.3
서울특별시,관악구,영국,1.2
서울특별시,관악구,카자흐스탄,0.8
서울특별시,관악구,튀르키예,0.7
서울특별시,관악구,멕시코,0.4
서울특별시,관악구,사우디아라비아,0.2
서울특별시,관악구,아랍에미리트,0.0
서울특별시,광진구,중국,30.1
서울특별시,광진구,일본,14.9
서울특별시,광진구,기타,9.3
서울특별시,광진구,대만,6.7
서울특별시,광진구,미국,5.8
서울특별시,광진구,몽골,4.2
서울특별시,광진구,홍콩,3.7
서울특별시,광진구,베트남,2.6
서울특별시,광진구,싱가포르,2.6
서울특별시,광진구,필리핀,2.5
서울특별시,광진구,인도네시아,2.5
서울특별시,광진구,말레이시아,2.1
서울특별시,광진구,캐나다,2.1
서울특별시,광진구,독일,1.9
서울특별시,광진구,프랑스,1.3
서울특별시,광진구,오스트레일리아,1.2
서울특별시,광진구,영국,1.2
서울특별시,광진구,태국,1.2
서울특별시,광진구,러시아,1.1
서울특별시,광진구,인도,1.0
서울특별시,광진구,카자흐스탄,1.0
서울특별시,광진구,멕시코,0.3
서울특별시,광진구,튀르키예,0.3
서울특별시,광진구,사우디아라비아,0.2
서울특별시,광진구,아랍에미리트,0.1
서울특별시,구로구,중국,54.6
서울특별시,구로구,일본,9.1
서울특별시,구로구,대만,6.5
서울특별시,구로구,기타,5.6
서울특별시,구로구,홍콩,3.5
서울특별시,구로구,미국,3.5
서울특별시,구로구,베트남,2.6
서울특별시,구로구,말레이시아,2.0
서울특별시,구로구,캐나다,1.5
서울특별시,구로구,필리핀,1.4
서울특별시,구로구,인도네시아,1.4
서울특별시,구로구,태국,1.1
서울특별시,구로구,싱가포르,1.1
서울특별시,구로구,독일,1.0
서울특별시,구로구,인도,0.8
서울특별시,구로구,오스트레일리아,0.8
서울특별시,구로구,몽골,0.8
서울특별시,구로구,러시아,0.7
서울특별시,구로구,프랑스,0.7
서울특별시,구로구,영국,0.6
서울특별시,구로구,카자흐스탄,0.3
서울특별시,구로구,튀르키예,0.3
서울특별시,구로구,사우디아라비아,0.2
서울특별시,구로구,멕시코,0.2
서울특별시,구로구,아랍에미리트,0.0
서울특별시,금천구,중국,55.3
서울특별시,금천구,기타,8.5
서울특별시,금천구,일본,8.1
서울특별시,금천구,대만,4.3
서울특별시,금천구,미국,3.4
서울특별시,금천구,홍콩,2.7
서울특별시,금천구,베트남,2.3
서울특별시,금천구,몽골,1.6
서울특별시,금천구,인도네시아,1.5
서울특별시,금천구,캐나다,1.4
서울특별시,금천구,필리핀,1.3
서울특별시,금천구,오스트레일리아,1.3
서울특별시,금천구,말레이시아,1.2
서울특별시,금천구,독일,1.0
서울특별시,금천구,러시아,1.0
서울특별시,금천구,싱가포르,0.9
서울특별시,금천구,태국,0.9
서울특별시,금천구,인도,0.8
서울특별시,금천구,프랑스,0.7
서울특별시,금천구,영국,0.6
서울특별시,금천구,튀르키예,0.5
서울특별시,금천구,카자흐스탄,0.4
서울특별시,금천구,사우디아라비아,0.2
서울특별시,금천구,멕시코,0.2
서울특별시,금천구,아랍에미리트,0.0
서울특별시,노원구,중국,18.7
서울특별시,노원구,일본,16.2
서울특별시,노원구,기타,13.8
서울특별시,노원구,미국,10.4
서울특별시,노원구,베트남,5.0
서울특별시,노원구,몽골,4.6
서울특별시,노원구,캐나다,3.9
서울특별시,노원구,홍콩,3.7
서울특별시,노원구,대만,3.2
서울특별시,노원구,필리핀,2.4
서울특별시,노원구,독일,2.4
서울특별시,노원구,오스트레일리아,2.0
서울특별시,노원구,인도네시아,1.9
서울특별시,노원구,말레이시아,1.7
서울특별시,노원구,영국,1.6
서울특별시,노원구,프랑스,1.6
서울특별시,노원구,태국,1.5
서울특별시,노원구,러시아,1.3
서울특별시,노원구,싱가포르,1.2
서울특별시,노원구,인도,1.1
서울특별시,노원구,카자흐스탄,0.7
서울특별시,노원구,멕시코,0.4
서울특별시,노원구,튀르키예,0.4
서울특별시,노원구,사우디아라비아,0.3
서울특별시,노원구,아랍에미리트,0.1
서울특별시,도봉구,중국,18.4
서울특별시,도봉구,기타,15.6
서울특별시,도봉구,일본,12.7
서울특별시,도봉구,미국,11.3
서울특별시,도봉구,몽골,4.7
서울특별시,도봉구,캐나다,4.6
서울특별시,도봉구,베트남,4.1
서울특별시,도봉구,대만,3.6
서울특별시,도봉구,홍콩,3.2
서울특별시,도봉구,필리핀,3.0
서울특별시,도봉구,독일,3.0
서울특별시,도봉구,인도네시아,2.6
서울특별시,도봉구,오스트레일리아,2.4
서울특별시,도봉구,말레이시아,1.7
