"provinceId","provinceName","districtName","visitorTotal","spendingTotal","accommodationTotal","landPriceTotal","visitorZ","spendingZ","accommodationZ","landPriceZ","opportunityScore","intensity"
"seoul","서울특별시","강남구","22156158","136807783","145","1930.4","1.006682","1.728327","0.422656","2.305812","-0.012454","0.297172"
"seoul","서울특별시","강동구","1527019","3882120","68","889.1","-0.652226","-0.563213","-0.415256","-0.250337","-0.142567","0.180744"
"seoul","서울특별시","강북구","971777","17023582","120","675.3","-0.696876","-0.336664","0.150607","-0.775167","-0.202566","0.127057"
"seoul","서울특별시","강서구","10711734","30832695","104","758.5","0.08637","-0.098605","-0.023505","-0.57093","0.145925","0.438891"
"seoul","서울특별시","관악구","2540151","5838566","105","556.8","-0.570754","-0.529485","-0.012623","-1.066057","-0.064252","0.250822"
"seoul","서울특별시","광진구","3897972","52145235","65","702.2","-0.461564","0.268808","-0.447902","-0.709133","0.118453","0.414308"
"seoul","서울특별시","구로구","4156979","13627616","121","589.1","-0.440736","-0.395208","0.161489","-0.986768","-0.066908","0.248445"
"seoul","서울특별시","금천구","2075187","4787736","67","702.1","-0.608145","-0.547601","-0.426138","-0.709379","-0.028301","0.282991"
"seoul","서울특별시","노원구","1131641","2309411","28","593.7","-0.684021","-0.590325","-0.850536","-0.975476","0.117615","0.413559"
"seoul","서울특별시","도봉구","582107","1172312","22","618.1","-0.728212","-0.609928","-0.915828","-0.915579","0.105587","0.402795"
"seoul","서울특별시","동대문구","4129184","4526871","131","771","-0.442971","-0.552098","0.270308","-0.540245","-0.205442","0.124484"
"seoul","서울특별시","동작구","3032471","3273178","35","941.3","-0.531164","-0.573711","-0.774362","-0.122198","-0.013088","0.296604"
"seoul","서울특별시","마포구","25372951","27690123","87","1018.5","1.265363","-0.15278","-0.208499","0.06731","0.539955","0.791473"
"seoul","서울특별시","서대문구","8796852","7878811","90","944.1","-0.067617","-0.494313","-0.175853","-0.115325","-0.000657","0.307727"
"seoul","서울특별시","서초구","10136735","69381371","44","1332.2","0.040131","0.565946","-0.676424","0.83737","0.1081","0.405045"
"seoul","서울특별시","성동구","8767065","1913932","70","1501.3","-0.070012","-0.597143","-0.393492","1.252472","-0.220166","0.111308"
