"provinceId","provinceName","visitorTotal","spendingTotal","accommodationTotal","landPriceTotal","visitorZ","spendingZ","accommodationZ","landPriceZ","opportunityScore","intensity"
"seoul","서울특별시","122751551","913811888","2654","24777","3.158597","3.362065","0.729846","3.27571","0.725549","1"
"incheon","인천광역시","63149600","181394026","1423","4084.7","1.225183","-0.02068","-0.344239","-0.204156","0.632108","0.925671"
"gyeonggi","경기도","65637440","307091841","4713","15764.5","1.305885","0.559868","2.526387","1.76006","-0.531587","0"
"gangwon","강원특별자치도","9180727","471016303","2988","4470.9","-0.525501","1.316969","1.021271","-0.139208","-0.357043","0.138842"
"chungbuk","충청북도","7817174","89868483","1105","2476.2","-0.569733","-0.4434","-0.621704","-0.474661","0.00921","0.430182"
"chungnam","충청남도","11885513","120117332","2405","3721.2","-0.437761","-0.303693","0.512586","-0.265286","-0.306192","0.179292"
"sejong","세종특별자치시","1135450","7390426","83","519.2","-0.786479","-0.827743","-1.51343","-0.803773","0.217418","0.596013"
"daejeon","대전광역시","3162183","39865818","603","1782","-0.720735","-0.674343","-1.059714","-0.591406","0.080467","0.486864"
"jeonbuk","전북특별자치도","7352211","74344833","1513","2570.3","-0.584815","-0.515098","-0.265711","-0.458836","-0.113955","0.332209"
"jeonnam","전라남도","19412271","97250174","2246","4199.3","-0.193602","-0.409307","0.373854","-0.184883","-0.193551","0.268894"
"gwangju","광주광역시","2845400","25619165","605","1814","-0.731011","-0.740142","-1.057969","-0.586024","0.068177","0.477088"
"gyeongbuk","경상북도","13701256","116861990","2616","4809.8","-0.37886","-0.318728","0.69669","-0.082214","-0.375981","0.123778"
"daegu","대구광역시","5688530","76144608","712","3986.9","-0.638783","-0.506786","-0.964608","-0.220603","0.027311","0.444581"
"gyeongnam","경상남도","22260841","109156983","2895","4142.5","-0.101198","-0.354315","0.940126","-0.194436","-0.319061","0.169055"
"ulsan","울산광역시","9080938","32375999","638","2026.5","-0.528738","-0.708935","-1.029175","-0.550288","0.136422","0.531373"
"busan","부산광역시","34274571","236126306","2184","8217.5","0.288513","0.232106","0.319757","0.490865","-0.055484","0.37872"
"jeju","제주특별자치도","32132839","268772740","1515","714.9","0.219038","0.382887","-0.263966","-0.770862","0.359266","0.708637"
