광역지자체명,기초지자체,1m2당_평균거래금액(만원)
강원특별자치도,강릉시,371.7
강원특별자치도,고성군,150.2
강원특별자치도,동해시,232.4
강원특별자치도,삼척시,252.6
강원특별자치도,속초시,210.9
강원특별자치도,양구군,99.8
강원특별자치도,양양군,396.1
강원특별자치도,영월군,150.1
강원특별자치도,원주시,314.0
강원특별자치도,인제군,144.9
강원특별자치도,정선군,147.3
강원특별자치도,철원군,123.8
강원특별자치도,춘천시,378.9
강원특별자치도,태백시,122.8
강원특별자치도,평창군,324.3
강원특별자치도,홍천군,729.4
강원특별자치도,화천군,140.7
강원특별자치도,횡성군,181.0
경기도,가평군,350.6
경기도,고양시,569.6
경기도,과천시,864.3
경기도,광명시,1065.7
경기도,광주시,489.2
경기도,구리시,668.1
경기도,군포시,519.3
경기도,김포시,508.7
경기도,남양주시,534.7
경기도,동두천시,245.0
경기도,부천시,420.7
경기도,성남시,885.7
경기도,수원시,532.4
경기도,시흥시,507.2
경기도,안산시,452.0
경기도,안성시,316.0
경기도,안양시,608.9
경기도,양주시,424.8
경기도,양평군,135.8
경기도,여주시,251.5
경기도,연천군,182.5
경기도,오산시,509.2
경기도,용인시,524.6
경기도,의왕시,691.0
경기도,의정부시,491.2
경기도,이천시,410.0
경기도,파주시,441.4
경기도,평택시,592.6
경기도,포천시,216.4
경기도,하남시,820.6
경기도,화성시,534.8
경상남도,거제시,247.9
경상남도,거창군,194.8
경상남도,고성군,186.6
경상남도,김해시,301.7
경상남도,남해군,424.4
경상남도,밀양시,207.7
경상남도,사천시,183.6
경상남도,산청군,153.1
경상남도,양산시,409.2
경상남도,의령군,117.7
경상남도,진주시,348.3
경상남도,창녕군,134.6
경상남도,창원시,310.4
경상남도,통영시,262.4
경상남도,하동군,200.7
경상남도,함안군,196.6
경상남도,함양군,142.3
경상남도,합천군,120.5
경상북도,경산시,366.1
경상북도,경주시,220.3
경상북도,고령군,166.7
경상북도,구미시,244.3
경상북도,김천시,189.4
경상북도,문경시,159.8
경상북도,봉화군,104.3
경상북도,상주시,169.7
경상북도,성주군,175.6
경상북도,안동시,226.2
경상북도,영덕군,213.2
경상북도,영양군,79.6
경상북도,영주시,188.4
경상북도,영천시,211.2
경상북도,예천군,283.1
경상북도,울릉군,524.0
경상북도,울진군,65.8
경상북도,의성군,121.3
경상북도,청도군,205.4
경상북도,청송군,257.3
경상북도,칠곡군,233.6
경상북도,포항시,259.5
광주광역시,광산구,375.6
광주광역시,남구,447.6
광주광역시,동구,334.8
광주광역시,북구,338.5
광주광역시,서구,317.5
경상북도,군위군,145.0
대구광역시,남구,323.9
대구광역시,달서구,516.6
대구광역시,달성군,368.6
대구광역시,동구,469.9
대구광역시,북구,411.7
대구광역시,서구,333.6
대구광역시,수성구,607.2
대구광역시,중구,955.4
대전광역시,대덕구,303.3
대전광역시,동구,344.4
대전광역시,서구,319.4
대전광역시,유성구,510.5
대전광역시,중구,304.4
부산광역시,강서구,442.1
부산광역시,금정구,379.2
부산광역시,기장군,409.1
부산광역시,남구,695.5
부산광역시,동구,497.6
부산광역시,동래구,552.5
부산광역시,부산진구,492.7
부산광역시,북구,410.5
부산광역시,사상구,297.5
부산광역시,사하구,313.7
부산광역시,서구,359.8
부산광역시,수영구,874.0
부산광역시,연제구,917.3
부산광역시,영도구,466.9
부산광역시,중구,428.2
부산광역시,해운대구,680.9
서울특별시,강남구,1930.4
서울특별시,강동구,889.1
서울특별시,강북구,675.3
서울특별시,강서구,758.5
서울특별시,관악구,556.8
서울특별시,광진구,702.2
서울특별시,구로구,589.1
서울특별시,금천구,702.1
서울특별시,노원구,593.7
서울특별시,도봉구,618.1
서울특별시,동대문구,771.0
서울특별시,동작구,941.3
서울특별시,마포구,1018.5
서울특별시,서대문구,944.1
서울특별시,서초구,1332.2
서울특별시,성동구,1501.3
서울특별시,성북구,837.9
서울특별시,송파구,1471.7
서울특별시,양천구,918.1
서울특별시,영등포구,1099.5
서울특별시,용산구,2033.9
서울특별시,은평구,678.4
서울특별시,종로구,1480.1
서울특별시,중구,1122.5
서울특별시,중랑구,611.2
세종특별자치시,세종특별자치시,519.2
울산광역시,남구,492.2
울산광역시,동구,360.7
울산광역시,북구,415.4
울산광역시,울주군,309.3
울산광역시,중구,448.9
인천광역시,강화군,288.6
인천광역시,계양구,400.4
인천광역시,남동구,383.0
인천광역시,동구,354.2
인천광역시,미추홀구,396.6
인천광역시,부평구,438.2
인천광역시,서구,575.3
인천광역시,연수구,589.8
인천광역시,옹진군,205.9
인천광역시,중구,452.7
전라남도,강진군,124.3
전라남도,고흥군,126.8
전라남도,곡성군,121.2
전라남도,광양시,212.1
전라남도,구례군,105.9
전라남도,나주시,266.5
전라남도,담양군,207.1
전라남도,목포시,217.0
전라남도,무안군,219.5
전라남도,보성군,146.5
전라남도,순천시,300.6
전라남도,신안군,94.7
전라남도,여수시,439.2
전라남도,영광군,139.0
전라남도,영암군,154.5
전라남도,완도군,95.0
전라남도,장성군,187.9
전라남도,장흥군,177.2
전라남도,진도군,358.3
전라남도,함평군,127.6
전라남도,해남군,149.2
전라남도,화순군,229.2
전북특별자치도,고창군,295.2
전북특별자치도,군산시,257.7
전북특별자치도,김제시,149.2
전북특별자치도,남원시,152.1
전북특별자치도,무주군,87.2
전북특별자치도,부안군,168.0
전북특별자치도,순창군,129.0
전북특별자치도,완주군,326.0
전북특별자치도,익산시,189.6
전북특별자치도,임실군,98.9
전북특별자치도,장수군,128.2
전북특별자치도,전주시,318.1
전북특별자치도,정읍시,165.6
전북특별자치도,진안군,105.5
제주특별자치도,서귀포시,302.4
제주특별자치도,제주시,412.5
충청남도,계룡시,340.2
충청남도,공주시,250.2
충청남도,금산군,142.5
충청남도,논산시,224.8
충청남도,당진시,292.1
충청남도,보령시,154.6
충청남도,부여군,149.5
충청남도,서산시,262.5
충청남도,서천군,136.9
충청남도,아산시,414.0
충청남도,예산군,255.8
충청남도,천안시,509.6
충청남도,청양군,119.6
충청남도,태안군,201.0
충청남도,홍성군,267.9
충청북도,괴산군,129.2
충청북도,단양군,653.2
충청북도,보은군,103.4
충청북도,영동군,131.0
충청북도,옥천군,160.7
충청북도,음성군,282.8
충청북도,제천시,146.5
충청북도,증평군,173.8
충청북도,진천군,211.8
충청북도,청주시,309.1
충청북도,충주시,174.7
