년월,광역지자체명,기초지자체명,광역지자체 방문자 수,기초지자체 방문자 수
2023-01,강원특별자치도,강릉시,131525,14874
2023-01,강원특별자치도,고성군,131525,7651
2023-01,강원특별자치도,동해시,131525,8471
2023-01,강원특별자치도,삼척시,131525,7702
2023-01,강원특별자치도,속초시,131525,11936
2023-01,강원특별자치도,양구군,131525,328
2023-01,강원특별자치도,양양군,131525,7670
2023-01,강원특별자치도,영월군,131525,1096
2023-01,강원특별자치도,원주시,131525,12096
2023-01,강원특별자치도,인제군,131525,2984
2023-01,강원특별자치도,정선군,131525,4768
2023-01,강원특별자치도,철원군,131525,816
2023-01,강원특별자치도,춘천시,131525,43674
2023-01,강원특별자치도,태백시,131525,1052
2023-01,강원특별자치도,평창군,131525,17726
2023-01,강원특별자치도,홍천군,131525,15424
2023-01,강원특별자치도,화천군,131525,9272
2023-01,강원특별자치도,횡성군,131525,6942
2023-01,경기도,가평군,769541,35275
2023-01,경기도,고양시,769541,60711
2023-01,경기도,과천시,769541,4588
2023-01,경기도,광명시,769541,11898
2023-01,경기도,광주시,769541,22777
2023-01,경기도,구리시,769541,8085
2023-01,경기도,군포시,769541,10776
2023-01,경기도,김포시,769541,48970
2023-01,경기도,남양주시,769541,26986
2023-01,경기도,동두천시,769541,5964
2023-01,경기도,부천시,769541,29732
2023-01,경기도,성남시,769541,49614
2023-01,경기도,수원시,769541,62372
2023-01,경기도,시흥시,769541,35833
2023-01,경기도,안산시,769541,72008
2023-01,경기도,안성시,769541,21368
2023-01,경기도,안양시,769541,18582
2023-01,경기도,양주시,769541,9905
2023-01,경기도,양평군,769541,13516
2023-01,경기도,여주시,769541,10308
2023-01,경기도,연천군,769541,1515
2023-01,경기도,오산시,769541,12144
2023-01,경기도,용인시,769541,62105
2023-01,경기도,의왕시,769541,8253
2023-01,경기도,의정부시,769541,12314
2023-01,경기도,이천시,769541,23132
2023-01,경기도,파주시,769541,32983
2023-01,경기도,평택시,769541,92510
2023-01,경기도,포천시,769541,15057
2023-01,경기도,하남시,769541,12133
2023-01,경기도,화성시,769541,83558
2023-01,경상남도,거제시,266632,62302
2023-01,경상남도,거창군,266632,2008
2023-01,경상남도,고성군,266632,3605
2023-01,경상남도,김해시,266632,28553
2023-01,경상남도,남해군,266632,26860
2023-01,경상남도,밀양시,266632,7217
2023-01,경상남도,사천시,266632,5294
2023-01,경상남도,산청군,266632,2662
2023-01,경상남도,양산시,266632,15934
2023-01,경상남도,의령군,266632,1342
2023-01,경상남도,진주시,266632,8684
2023-01,경상남도,창녕군,266632,10541
2023-01,경상남도,창원시,266632,65039
2023-01,경상남도,통영시,266632,82509
2023-01,경상남도,하동군,266632,2561
2023-01,경상남도,함안군,266632,4279
2023-01,경상남도,함양군,266632,1985
2023-01,경상남도,합천군,266632,1321
2023-01,경상북도,경산시,145193,13476
2023-01,경상북도,경주시,145193,36761
2023-01,경상북도,고령군,145193,2623
2023-01,경상북도,구미시,145193,14239
2023-01,경상북도,김천시,145193,5567
2023-01,경상북도,문경시,145193,3093
2023-01,경상북도,봉화군,145193,448
2023-01,경상북도,상주시,145193,4076
2023-01,경상북도,성주군,145193,3978
2023-01,경상북도,안동시,145193,3352
2023-01,경상북도,영덕군,145193,13282
2023-01,경상북도,영양군,145193,311
2023-01,경상북도,영주시,145193,1937
2023-01,경상북도,영천시,145193,5441
2023-01,경상북도,예천군,145193,948
2023-01,경상북도,울릉군,145193,13168
2023-01,경상북도,울진군,145193,13569
2023-01,경상북도,의성군,145193,1530
2023-01,경상북도,청도군,145193,3131
2023-01,경상북도,청송군,145193,582
2023-01,경상북도,칠곡군,145193,9853
2023-01,경상북도,포항시,145193,36499
2023-01,광주광역시,광산구,32188,15710
2023-01,광주광역시,남구,32188,3010
2023-01,광주광역시,동구,32188,3119
2023-01,광주광역시,북구,32188,7578
2023-01,광주광역시,서구,32188,10484
2023-01,경상북도,군위군,62959,1774
2023-01,대구광역시,남구,62959,4549
2023-01,대구광역시,달서구,62959,14414
2023-01,대구광역시,달성군,62959,11052
2023-01,대구광역시,동구,62959,21749
2023-01,대구광역시,북구,62959,11286
2023-01,대구광역시,서구,62959,3729
2023-01,대구광역시,수성구,62959,9981
2023-01,대구광역시,중구,62959,13372
2023-01,대전광역시,대덕구,37073,5568
2023-01,대전광역시,동구,37073,8762
2023-01,대전광역시,서구,37073,12042
2023-01,대전광역시,유성구,37073,15951
2023-01,대전광역시,중구,37073,6538
2023-01,부산광역시,강서구,325980,116492
2023-01,부산광역시,금정구,325980,11984
2023-01,부산광역시,기장군,325980,44563
2023-01,부산광역시,남구,325980,46794
2023-01,부산광역시,동구,325980,37029
2023-01,부산광역시,동래구,325980,7455
2023-01,부산광역시,부산진구,325980,50664
2023-01,부산광역시,북구,325980,5926
2023-01,부산광역시,사상구,325980,11949
2023-01,부산광역시,사하구,325980,36967
2023-01,부산광역시,서구,325980,33408
2023-01,부산광역시,수영구,325980,17392
2023-01,부산광역시,연제구,325980,12887
2023-01,부산광역시,영도구,325980,56970
2023-01,부산광역시,중구,325980,50397
2023-01,부산광역시,해운대구,325980,53176
2023-01,서울특별시,강남구,1181600,189100
2023-01,서울특별시,강동구,1181600,18784
2023-01,서울특별시,강북구,1181600,11217
2023-01,서울특별시,강서구,1181600,88550
2023-01,서울특별시,관악구,1181600,24736
2023-01,서울특별시,광진구,1181600,38937
2023-01,서울특별시,구로구,1181600,31696
2023-01,서울특별시,금천구,1181600,16946
2023-01,서울특별시,노원구,1181600,14056
